SCORE:	binder_aligned_rmsd	pae_binder	pae_interaction	pae_target	plddt_binder	plddt_target	plddt_total	target_aligned_rmsd	time	description	successful
SCORE:	0.447	2.058	4.053	3.42	95.849	95.433	95.586	1.259	10.982	5o45-200by5_139_dldesign_0_af2pred	True
SCORE:	0.457	2.187	4.205	3.412	95.38	95.441	95.415	0.82	11.857	5o45-200by5_29_dldesign_0_af2pred	True
SCORE:	0.456	2.407	4.373	3.409	94.237	95.333	94.865	0.78	188.404	5o45-200by5_29_dldesign_4_af2pred	True
SCORE:	0.482	2.273	4.414	3.441	94.562	95.286	95.02	0.858	10.927	5o45-200by5_139_dldesign_4_af2pred	True
SCORE:	0.611	2.37	4.487	3.444	94.304	95.202	94.819	1.065	12.248	5o45-200by5_29_dldesign_1_af2pred	True
SCORE:	0.478	2.305	4.504	3.47	94.345	95.074	94.763	0.95	11.825	5o45-200by5_32_dldesign_2_af2pred	True
SCORE:	0.71	2.418	4.535	3.489	94.531	95.176	94.949	1.546	10.481	5o45-200by5_71_dldesign_4_af2pred	True
SCORE:	0.487	2.497	4.536	3.511	94.345	95.074	94.78	0.713	150.965	5o45-200by5_183_dldesign_2_af2pred	True
SCORE:	0.378	2.173	4.546	3.498	95.007	94.846	94.911	1.581	11.581	5o45-200by5_15_dldesign_3_af2pred	True
SCORE:	0.52	2.19	4.552	3.342	95.423	95.371	95.394	1.591	12.432	5o45-200by5_23_dldesign_1_af2pred	True
SCORE:	0.398	2.588	4.579	3.496	92.882	95.012	94.154	0.863	11.151	5o45-200by5_183_dldesign_4_af2pred	True
SCORE:	0.516	2.47	4.59	3.369	93.682	95.337	94.626	1.075	12.018	5o45-200by5_198_dldesign_1_af2pred	True
SCORE:	0.342	1.988	4.613	3.365	95.847	95.183	95.473	1.252	11.715	5o45-200by5_23_dldesign_4_af2pred	True
SCORE:	0.424	2.229	4.622	3.544	94.526	94.837	94.705	1.001	12.18	5o45-200by5_32_dldesign_3_af2pred	True
SCORE:	0.396	2.25	4.629	3.566	94.929	94.786	94.844	1.774	11.964	5o45-200by5_15_dldesign_0_af2pred	True
SCORE:	0.373	2.155	4.651	3.451	94.57	95.137	94.928	1.261	10.41	5o45-200by5_139_dldesign_1_af2pred	True
SCORE:	0.613	1.874	4.654	3.494	94.548	94.981	94.827	0.922	10.731	5o45-200by5_166_dldesign_2_af2pred	True
SCORE:	0.516	2.434	4.656	3.454	93.456	95.113	94.474	0.784	11.204	5o45-200by5_78_dldesign_4_af2pred	True
SCORE:	0.387	2.256	4.661	3.533	94.6	94.785	94.71	1.706	11.509	5o45-200by5_15_dldesign_1_af2pred	True
SCORE:	0.324	1.987	4.683	3.388	95.146	95.236	95.203	1.552	10.788	5o45-200by5_19_dldesign_1_af2pred	True
SCORE:	0.492	2.276	4.692	3.475	93.587	94.867	94.355	0.886	11.597	5o45-200by5_93_dldesign_0_af2pred	True
SCORE:	0.512	2.074	4.714	3.525	94.342	95.088	94.823	0.828	10.506	5o45-200by5_166_dldesign_1_af2pred	True
SCORE:	0.399	2.144	4.724	3.391	95.034	95.284	95.192	1.486	10.393	5o45-200by5_19_dldesign_3_af2pred	True
SCORE:	0.466	2.326	4.738	3.537	93.192	94.613	94.095	0.631	10.504	5o45-200by5_40_dldesign_3_af2pred	True
SCORE:	0.562	2.239	4.743	3.449	91.728	95.119	93.915	1.138	10.779	5o45-200by5_166_dldesign_4_af2pred	True
SCORE:	0.461	2.191	4.759	3.489	93.227	95.121	94.448	0.796	10.74	5o45-200by5_166_dldesign_0_af2pred	True
SCORE:	0.544	2.986	4.782	3.44	93.815	95.274	94.729	0.804	10.84	5o45-200by5_134_dldesign_2_af2pred	True
SCORE:	0.463	2.283	4.805	3.601	93.865	94.432	94.21	1.057	139.57	5o45-200by5_68_dldesign_3_af2pred	True
SCORE:	0.706	2.707	4.808	3.461	93.371	95.03	94.335	1.262	12.072	5o45-200by5_85_dldesign_3_af2pred	True
SCORE:	0.544	2.452	4.812	3.445	93.723	94.933	94.414	0.904	12.031	5o45-200by5_9_dldesign_0_af2pred	True
SCORE:	0.388	2.324	4.854	3.488	93.006	94.489	93.939	1.659	10.859	5o45-200by5_136_dldesign_3_af2pred	True
